7.469008
500
0.112062
0.016699 0.271337 -0.312169
-0.000053 -0.001590 0.616208
-0.003479 -0.057325 2.286848
0.406610 -0.491111 3.063439
-0.017127 -0.117998 3.858372
-0.470417 0.504735 4.530087
-0.033112 -0.173475 5.123680
-0.331473 -0.220341 6.019583
-0.084604 1.900926 0.501955
-0.194168 0.568320 1.438230
-0.143759 1.003055 2.297895
0.485054 0.630372 2.905461
0.183143 0.942161 3.927492
-0.333827 1.412627 4.731855
0.315442 0.785252 5.359843
0.097853 0.640467 6.258831
0.796811 2.036159 -0.083627
0.182066 1.541437 1.518856
-0.353608 1.951478 2.277220
-0.341718 1.466764 3.239824
-0.093782 2.177877 4.077247
-0.094601 1.829419 5.569882
-0.502186 1.412284 6.386937
-0.157175 1.273227 7.221872
-0.324911 2.781751 0.098757
-0.268266 2.451566 1.309887
-0.268950 3.304476 1.936388
0.072431 2.483156 3.082089
-0.197534 3.211182 4.167781
0.291049 3.039522 5.014391
-0.172367 2.775318 5.996408
-0.158831 2.210527 6.836365
0.345515 3.926005 0.342948
-0.311424 3.344142 0.908481
-0.154380 4.205582 2.312831
-0.001458 3.459749 3.028952
0.543116 3.972748 4.006188
0.059490 4.230771 4.927964
-0.116915 3.787042 6.004574
0.387584 3.138697 6.760967
-0.159023 5.013155 0.100700
-0.249615 5.050162 1.441182
0.326051 5.109346 2.287407
-0.837004 4.436842 3.341465
0.005945 4.891593 3.945480
0.538127 4.979214 5.297197
-0.201804 4.833011 6.027241
0.011041 4.287709 6.912975
-0.782821 5.971691 -0.071597
-0.240368 5.855396 0.792227
-0.413109 5.847883 1.895117
0.666270 5.392068 3.237955
-0.615716 6.097014 4.583985
0.127882 6.395439 5.334006
-0.561455 5.617410 5.591180
0.357311 5.309949 6.770345
-0.032797 6.551238 0.031358
-0.393051 6.958521 1.413898
0.263169 6.548479 1.897282
0.051052 6.078758 2.707204
-0.225913 5.942723 3.736775
-0.680050 6.961527 4.430129
-0.835494 6.512276 5.556379
-0.214254 6.234587 6.306286
0.792912 -0.124402 0.228604
0.741636 -0.081065 1.331869
1.028226 -0.255970 2.209487
1.444142 -0.678850 3.074688
0.980873 0.108748 3.550377
0.793166 0.027056 4.536566
0.560281 -0.167069 5.779608
1.015715 0.286348 6.815964
0.777310 1.003107 -0.132243
0.256368 0.917217 0.658076
0.818516 0.696644 1.997151
1.636111 1.123288 2.188521
1.071673 1.104343 3.562320
0.862904 1.187136 4.688684
1.750459 1.311249 4.894371
1.146426 0.936780 6.241739
1.506009 1.627238 -0.588134
0.700441 2.193141 1.018813
1.229822 1.239714 1.195469
0.613710 1.576240 2.627369
0.898792 2.118931 3.495477
1.363615 2.178990 4.379279
0.913105 1.658866 5.570443
0.435475 1.583867 6.486889
0.637177 2.890035 0.398980
0.498219 3.230220 1.439199
0.321475 2.533780 2.114033
0.931319 2.830357 2.723516
0.774732 2.901389 4.040465
0.464916 2.159093 4.879577
1.168972 2.639969 5.268272
0.798464 2.468851 6.198476
1.372448 3.803842 0.234127
0.191790 4.173398 1.434337
