-36 0.000100 0.000122
-34 0.000400 0.000246
-32 0.000600 0.000477
-30 0.000800 0.000886
-28 0.001100 0.001583
-26 0.002300 0.002717
-24 0.004900 0.004479
-22 0.008000 0.007095
-20 0.010800 0.010798
-18 0.016500 0.015790
-16 0.022600 0.022184
-14 0.027900 0.029945
-12 0.040000 0.038837
-10 0.045300 0.048394
-8 0.057200 0.057938
-6 0.067200 0.066645
-4 0.076700 0.073654
-2 0.078600 0.078209
0 0.087700 0.079788
2 0.079300 0.078209
4 0.079400 0.073654
6 0.060900 0.066645
8 0.053300 0.057938
10 0.048900 0.048394
12 0.038400 0.038837
14 0.029200 0.029945
16 0.020700 0.022184
18 0.013400 0.015790
20 0.011600 0.010798
22 0.006700 0.007095
24 0.004600 0.004479
26 0.002200 0.002717
28 0.001200 0.001583
30 0.000700 0.000886
32 0.000400 0.000477
34 0.000300 0.000246
36 0.000100 0.000122
